apparel.shorts,7.85
appliances.kitchen.fryer,46.31
construction.tools.screw,48.64
construction.tools.soldering,97.07
country_yard.furniture.hammok,100.4
apparel.scarf,188.4
apparel.shoes.step_ins,209.52
apparel.shoes.slipons,297.57
auto.accessories.anti_freeze,446.4700000000001
accessories.umbrella,540.11
